類目代碼,類目名稱,說明,是否隱藏
6002018011,安徽省阜陽市,安徽省阜陽市包括：界首市,否
6002018012,安徽省宿州市,,否
6002018013,安徽省巢湖市,,否
6002018014,安徽省六安市,,否
6002018015,安徽省亳州市,,否
6002018016,安徽省池州市,,否
6002018017,安徽省宣城市,安徽省宣城市包括：寧國市,否
6002019000,河南省,,否
6002019001,河南省鄭州市,河南省鄭州市包括：鞏義市、滎陽市、新密市、新鄭市、登封市、,否
6002019002,河南省開封市,,否
6002019003,河南省洛陽市,河南省洛陽市包括：偃師市,否
6002019004,河南省平頂山市,河南省平頂山市包括：舞鋼市、汝州市,否
6002019005,河南省安陽市,河南省安陽市包括：林州市,否
6002019006,河南省鶴壁市,,否
6002019007,河南省新鄉市,河南省新鄉市包括：衛輝市、輝縣市,否
6002019008,河南省焦作市,河南省焦作市包括：濟源市、沁陽市、孟州市,否
6002019009,河南省濮陽市,,否
6002019010,河南省許昌市,河南省許昌市包括：禹州市、長葛市,否
6002019011,河南省漯河市,,否
6002019012,河南省三門峽市,河南省三門峽市包括：義馬市、靈寶市,否
6002019013,河南省南陽市,河南省南陽市包括：鄧州市,否
6002019014,河南省商丘市,河南省商丘市包括：永城市,否
6002019015,河南省信陽市,,否
6002019016,河南省周口市,河南省周口市包括：項城市,否
6002019017,河南省駐馬店市,,否
6002019018,河南省濟源市,,否
6002019019,河南省省直轄,,否
6002020000,山西省,,否
6002020001,山西省太原市,山西省太原市包括：古交市,否
6002020002,山西省大同市,,否
6002020003,山西省陽泉市,,否
6002020004,山西省長治市,山西省長治市包括：潞城市,否
6002020005,山西省晉城市,山西省晉城市包括：高平市,否
6002020006,山西省朔州市,,否
6002020007,山西省晉中市,山西省晉中市包括：介休市,否
6002020008,山西省運城市,山西省運城市包括：永濟市、河津市,否
6002020009,山西省忻州市,山西省忻州市包括：原平市,否
6002020010,山西省臨汾市,山西省臨汾市包括：侯馬市、霍州市,否
6002020011,山西省呂梁市,山西省呂梁市包括：孝義市、汾陽市,否
6002021000,陜西省,,否
6002021001,陜西省西安市,,否
6002021002,陜西省銅川市,,否
6002021003,陜西省寶雞市,,否
6002021004,陜西省咸陽市,陜西省咸陽市包括：興平市,否
6002021005,陜西省渭南市,陜西省渭南市包括：華陰市,否
6002021006,陜西省延安市,,否
6002021007,陜西省漢中市,,否
6002021008,陜西省榆林市,,否
6002021009,陜西省安康市,,否
6002021010,陜西省商洛市,,否
6002022000,甘肅省,,否
6002022001,甘肅省蘭州市,,否
6002022002,甘肅省嘉峪關市,,否
